"TIME","GEO","WASTE","WST_OPER","UNIT","Value","Flag and Footnotes"
"1997","Belgium","Packaging","Waste generated","Kilograms per capita","133.2",""
"1997","Belgium","Packaging","Waste generated","Tonne","1,356,100",""
"1997","Belgium","Packaging","Recovery","Kilograms per capita","83.04",""
"1997","Belgium","Packaging","Recovery","Tonne","845,480",""
"1997","Bulgaria","Packaging","Waste generated","Kilograms per capita",":",""
"1997","Bulgaria","Packaging","Waste generated","Tonne",":",""
"1997","Bulgaria","Packaging","Recovery","Kilograms per capita",":",""
"1997","Bulgaria","Packaging","Recovery","Tonne",":",""
"1997","Czechia","Packaging","Waste generated","Kilograms per capita",":",""
"1997","Czechia","Packaging","Waste generated","Tonne",":",""
"1997","Czechia","Packaging","Recovery","Kilograms per capita",":",""
"1997","Czechia","Packaging","Recovery","Tonne",":",""
"1997","Denmark","Packaging","Waste generated","Kilograms per capita","171.58",""
"1997","Denmark","Packaging","Waste generated","Tonne","906,792",""
"1997","Denmark","Packaging","Recovery","Kilograms per capita","143.6",""
"1997","Denmark","Packaging","Recovery","Tonne","758,927",""
"1997","Germany (until 1990 former territory of the FRG)","Packaging","Waste generated","Kilograms per capita","167.16",""
"1997","Germany (until 1990 former territory of the FRG)","Packaging","Waste generated","Tonne","13,712,900",""
"1997","Germany (until 1990 former territory of the FRG)","Packaging","Recovery","Kilograms per capita","138.43",""
"1997","Germany (until 1990 former territory of the FRG)","Packaging","Recovery","Tonne","11,356,100",""
"1997","Estonia","Packaging","Waste generated","Kilograms per capita",":",""
"1997","Estonia","Packaging","Waste generated","Tonne",":",""
"1997","Estonia","Packaging","Recovery","Kilograms per capita",":",""
"1997","Estonia","Packaging","Recovery","Tonne",":",""
"1997","Ireland","Packaging","Waste generated","Kilograms per capita","163.9",""
"1997","Ireland","Packaging","Waste generated","Tonne","602,197",""
"1997","Ireland","Packaging","Recovery","Kilograms per capita","24.98",""
"1997","Ireland","Packaging","Recovery","Tonne","91,770",""
"1997","Greece","Packaging","Waste generated","Kilograms per capita","66.67",""
"1997","Greece","Packaging","Waste generated","Tonne","710,800",""
"1997","Greece","Packaging","Recovery","Kilograms per capita","24.69",""
"1997","Greece","Packaging","Recovery","Tonne","263,200",""
"1997","Spain","Packaging","Waste generated","Kilograms per capita","145.66",""
"1997","Spain","Packaging","Waste generated","Tonne","5,834,671",""
"1997","Spain","Packaging","Recovery","Kilograms per capita","54.62",""
"1997","Spain","Packaging","Recovery","Tonne","2,187,897",""
"1997","France","Packaging","Waste generated","Kilograms per capita","185.02",""
"1997","France","Packaging","Waste generated","Tonne","11,070,000",""
"1997","France","Packaging","Recovery","Kilograms per capita","101.64",""
"1997","France","Packaging","Recovery","Tonne","6,081,000",""
"1997","Croatia","Packaging","Waste generated","Kilograms per capita",":",""
"1997","Croatia","Packaging","Waste generated","Tonne",":",""
"1997","Croatia","Packaging","Recovery","Kilograms per capita",":",""
"1997","Croatia","Packaging","Recovery","Tonne",":",""
"1997","Italy","Packaging","Waste generated","Kilograms per capita","167.5",""
"1997","Italy","Packaging","Waste generated","Tonne","9,529,000",""
"1997","Italy","Packaging","Recovery","Kilograms per capita","53.28",""
"1997","Italy","Packaging","Recovery","Tonne","3,031,100",""
"1997","Cyprus","Packaging","Waste generated","Kilograms per capita",":",""
"1997","Cyprus","Packaging","Waste generated","Tonne",":",""
"1997","Cyprus","Packaging","Recovery","Kilograms per capita",":",""
"1997","Cyprus","Packaging","Recovery","Tonne",":",""
"1997","Latvia","Packaging","Waste generated","Kilograms per capita",":",""
"1997","Latvia","Packaging","Waste generated","Tonne",":",""
"1997","Latvia","Packaging","Recovery","Kilograms per capita",":",""
"1997","Latvia","Packaging","Recovery","Tonne",":",""
"1997","Lithuania","Packaging","Waste generated","Kilograms per capita",":",""
"1997","Lithuania","Packaging","Waste generated","Tonne",":",""
"1997","Lithuania","Packaging","Recovery","Kilograms per capita",":",""
"1997","Lithuania","Packaging","Recovery","Tonne",":",""
"1997","Luxembourg","Packaging","Waste generated","Kilograms per capita","182.4",""
"1997","Luxembourg","Packaging","Waste generated","Tonne","76,508",""
"1997","Luxembourg","Packaging","Recovery","Kilograms per capita","79.7",""
"1997","Luxembourg","Packaging","Recovery","Tonne","33,430",""
"1997","Hungary","Packaging","Waste generated","Kilograms per capita",":",""
"1997","Hungary","Packaging","Waste generated","Tonne",":",""
"1997","Hungary","Packaging","Recovery","Kilograms per capita",":",""
"1997","Hungary","Packaging","Recovery","Tonne",":",""
"1997","Malta","Packaging","Waste generated","Kilograms per capita",":",""
"1997","Malta","Packaging","Waste generated","Tonne",":",""
"1997","Malta","Packaging","Recovery","Kilograms per capita",":",""
"1997","Malta","Packaging","Recovery","Tonne",":",""
"1997","Netherlands","Packaging","Waste generated","Kilograms per capita","175.84",""
"1997","Netherlands","Packaging","Waste generated","Tonne","2,745,000",""
"1997","Netherlands","Packaging","Recovery","Kilograms per capita","136.45",""
"1997","Netherlands","Packaging","Recovery","Tonne","2,130,000",""
"1997","Austria","Packaging","Waste generated","Kilograms per capita","138.43",""
"1997","Austria","Packaging","Waste generated","Tonne","1,103,000",""
"1997","Austria","Packaging","Recovery","Kilograms per capita","95.95",""
"1997","Austria","Packaging","Recovery","Tonne","764,500",""
"1997","Poland","Packaging","Waste generated","Kilograms per capita",":",""
"1997","Poland","Packaging","Waste generated","Tonne",":",""
"1997","Poland","Packaging","Recovery","Kilograms per capita",":",""
"1997","Poland","Packaging","Recovery","Tonne",":",""
"1997","Portugal","Packaging","Waste generated","Kilograms per capita",":",""
"1997","Portugal","Packaging","Waste generated","Tonne",":",""
"1997","Portugal","Packaging","Recovery","Kilograms per capita",":",""
"1997","Portugal","Packaging","Recovery","Tonne",":",""
"1997","Romania","Packaging","Waste generated","Kilograms per capita",":",""
"1997","Romania","Packaging","Waste generated","Tonne",":",""
"1997","Romania","Packaging","Recovery","Kilograms per capita",":",""
"1997","Romania","Packaging","Recovery","Tonne",":",""
"1997","Slovenia","Packaging","Waste generated","Kilograms per capita",":",""
"1997","Slovenia","Packaging","Waste generated","Tonne",":",""
"1997","Slovenia","Packaging","Recovery","Kilograms per capita",":",""
"1997","Slovenia","Packaging","Recovery","Tonne",":",""
"1997","Slovakia","Packaging","Waste generated","Kilograms per capita",":",""
"1997","Slovakia","Packaging","Waste generated","Tonne",":",""
"1997","Slovakia","Packaging","Recovery","Kilograms per capita",":",""
"1997","Slovakia","Packaging","Recovery","Tonne",":",""
"1997","Finland","Packaging","Waste generated","Kilograms per capita","81.38",""
"1997","Finland","Packaging","Waste generated","Tonne","418,300",""
"1997","Finland","Packaging","Recovery","Kilograms per capita","43.83",""
"1997","Finland","Packaging","Recovery","Tonne","225,300",""
"1997","Sweden","Packaging","Waste generated","Kilograms per capita","104.39",""
"1997","Sweden","Packaging","Waste generated","Tonne","923,400",""
"1997","Sweden","Packaging","Recovery","Kilograms per capita","67.95",""
"1997","Sweden","Packaging","Recovery","Tonne","601,100",""
"1997","Iceland","Packaging","Waste generated","Kilograms per capita",":",""
"1997","Iceland","Packaging","Waste generated","Tonne",":",""
"1997","Iceland","Packaging","Recovery","Kilograms per capita",":",""
"1997","Iceland","Packaging","Recovery","Tonne",":",""
"1997","Liechtenstein","Packaging","Waste generated","Kilograms per capita",":",""
"1997","Liechtenstein","Packaging","Waste generated","Tonne",":",""
"1997","Liechtenstein","Packaging","Recovery","Kilograms per capita",":",""
"1997","Liechtenstein","Packaging","Recovery","Tonne",":",""
"1997","Norway","Packaging","Waste generated","Kilograms per capita",":",""
"1997","Norway","Packaging","Waste generated","Tonne",":",""
"1997","Norway","Packaging","Recovery","Kilograms per capita",":",""
"1997","Norway","Packaging","Recovery","Tonne",":",""
"1997","United Kingdom","Packaging","Waste generated","Kilograms per capita","171.53",""
"1997","United Kingdom","Packaging","Waste generated","Tonne","10,003,325",""
"1997","United Kingdom","Packaging","Recovery","Kilograms per capita","45.52",""
"1997","United Kingdom","Packaging","Recovery","Tonne","2,654,870",""
"1998","Belgium","Packaging","Waste generated","Kilograms per capita","139.8",""
"1998","Belgium","Packaging","Waste generated","Tonne","1,426,360",""
"1998","Belgium","Packaging","Recovery","Kilograms per capita","101.93",""
"1998","Belgium","Packaging","Recovery","Tonne","1,039,990",""
"1998","Bulgaria","Packaging","Waste generated","Kilograms per capita",":",""
"1998","Bulgaria","Packaging","Waste generated","Tonne",":",""
"1998","Bulgaria","Packaging","Recovery","Kilograms per capita",":",""
"1998","Bulgaria","Packaging","Recovery","Tonne",":",""
"1998","Czechia","Packaging","Waste generated","Kilograms per capita",":",""
"1998","Czechia","Packaging","Waste generated","Tonne",":",""
"1998","Czechia","Packaging","Recovery","Kilograms per capita",":",""
"1998","Czechia","Packaging","Recovery","Tonne",":",""
"1998","Denmark","Packaging","Waste generated","Kilograms per capita","157.97",""
"1998","Denmark","Packaging","Waste generated","Tonne","837,927",""
"1998","Denmark","Packaging","Recovery","Kilograms per capita","139.84",""
"1998","Denmark","Packaging","Recovery","Tonne","741,755",""
